Source,Event_ID,Event Summary,URL,Operating Systems,Category and Subcategory,Type,Description,Event Example
Windows,4614,A notification package has been loaded by the Security Account Manager.,https://www.ultimatewindowssecurity.com/securitylog/encyclopedia/event.aspx?eventid=4614,"['Windows 2008 R2', '7\r\n                        \r\n                            Windows 2012 R2', '8.1\r\n                        \r\n                            Windows 2016', '10\r\n                        \r\n                            Windows Server 2019', '2022']",System                         • Security System Extension,Success,"An occurrence of Event 4614 is logged for each notification package on the system. 

Notification packages are DLLs that Windows calls into whenenever a user changes his/her password. The purpose of a notification package is to let you evaluate passwords against your own rules for acceptability. The notification package answers back whether or not the password is acceptable. Notification packages are also used to implement password synchronization systems. 

A rogue notification package would be a devastating security breach because notification packages are supplied with the clear text of the password and are simpler to write and install than authentication packages and logon processes (see 4610, 4611, and 4622).","A notification package has been loaded by the Security Account Manager.
This package will be notified of any account or password changes."
Windows,4615,Invalid use of LPC port,https://www.ultimatewindowssecurity.com/securitylog/encyclopedia/event.aspx?eventid=4615,"['Windows 2008 R2', '7\r\n                        \r\n                            Windows 2012 R2', '8.1\r\n                        \r\n                            Windows 2016', '10\r\n                        \r\n                            Windows Server 2019', '2022']",System                         • System Integrity,Success,LPC is used for communication between threads or processes or for communication between kernel mode and user mode components. The communication can be on the same computer between the client and server functions. In 2000 there were several LPC port spoofing vulnerabilities patched for Windows NT.,Invalid use of LPC port.
Windows,4616,The system time was changed.,https://www.ultimatewindowssecurity.com/securitylog/encyclopedia/event.aspx?eventid=4616,"['Windows 2008 R2', '7\r\n                        \r\n                            Windows 2012 R2', '8.1\r\n                        \r\n                            Windows 2016', '10\r\n                        \r\n                            Windows Server 2019', '2022']",System                         • Security State Change,Success,This event indicates the old and new system time as well as who did it as specified in the Subject: section.  Process information shows the program that was used to change the time.  Changing the time manually from the taskbar uses rundll.exe as shown in the example.,The system time was changed.
Windows,4618,A monitored security event pattern has occurred,https://www.ultimatewindowssecurity.com/securitylog/encyclopedia/event.aspx?eventid=4618,"['Windows 2008 R2', '7\r\n                        \r\n                            Windows 2012 R2', '8.1\r\n                        \r\n                            Windows 2016', '10\r\n                        \r\n                            Windows Server 2019', '2022']",System                         • System Integrity,Success,"I haven't been able to produce this event. Have you? If so, please start a discussion (see above) and post a sample along with any comments you may have! Don't forget to sanitize any private information.",A monitored security event pattern has occurred.
Windows,4621,Administrator recovered system from CrashOnAuditFail,https://www.ultimatewindowssecurity.com/securitylog/encyclopedia/event.aspx?eventid=4621,"['Windows 2008 R2', '7\r\n                        \r\n                            Windows 2012 R2', '8.1\r\n                        \r\n                            Windows 2016', '10\r\n                        \r\n                            Windows Server 2019', '2022']",System                         • Security State Change,Success,"In testing I configured the log to crash on audit failure and then filled up the security log which indeed brought the system down.  I rebooted, reset the CrashOnAuditFail registry setting, cleared the log and restarted.  The event was never logged. I haven't been able to produce this event. Have you? If so, please start a discussion (see above) and post a sample along with any comments you may have! Don't forget to sanitize any private information.",Administrator recovered system from CrashOnAuditFail. Users who are not administrators will now be allowed to log on. Some auditable activity might not have been recorded.
Windows,4622,A security package has been loaded by the Local Security Authority.,https://www.ultimatewindowssecurity.com/securitylog/encyclopedia/event.aspx?eventid=4622,"['Windows 2008 R2', '7\r\n                        \r\n                            Windows 2012 R2', '8.1\r\n                        \r\n                            Windows 2016', '10\r\n                        \r\n                            Windows Server 2019', '2022']",System                         • Security System Extension,Success,"Security packages are yet another type of plug-in that extends security functionality in Windows.  MSDN defines a security package as ""The software implementation of a security protocol. Security packages are contained in security support provider DLLs or security support provider/authentication package DLLs."" From http://msdn2.microsoft.com/en-us/library/aa380130.aspx: Windows operating system supports authentication using security packages that function as both security support providers and as authentication packages. Security packages provide the logon process support services of a Windows authentication package and also provide authentication services to applications by implementing a set of functions that are mapped to the Security Support Provider Interface (SSPI). The security implication of event 4622 realistically, is low. Although a rogue package could cause great harm by stealing credentials at the time of logon, the effort required in developing and installing a rogue security package is significant.","A security package has been loaded by the Local Security Authority.

Security Package Name: C:\Windows\system32\LSASRV.dll : Negotiate"
Windows,4624,An account was successfully logged on,https://www.ultimatewindowssecurity.com/securitylog/encyclopedia/event.aspx?eventid=4624,"['Windows 2008 R2', '7\r\n                        \r\n                            Windows 2012 R2', '8.1\r\n                        \r\n                            Windows 2016', '10\r\n                        \r\n                            Windows Server 2019', '2022']",Logon/Logoff                   • Logon,Success,"This is a highly valuable event since it documents each and every successful attempt to logon to the local computer regardless of logon type, location of the user or type of account.  You can tie this event to logoff events 4634 and 4647 using Logon ID.","An account was successfully logged on.

Subject:
   	Security ID:		SYSTEM
   	Account Name:		DESKTOP-LLHJ389$
   	Account Domain:		WORKGROUP
   	Logon ID:		0x3E7

Logon Information:
   	Logon Type:		7
   	Restricted Admin Mode:	-
   	Virtual Account:		No
   	Elevated Token:		No

Impersonation Level:		Impersonation

New Logon:
   	Security ID:		AzureAD\RandyFranklinSmith
   	Account Name:		rsmith@montereytechgroup.com
   	Account Domain:		AzureAD
   	Logon ID:		0xFD5113F
   	Linked Logon ID:		0xFD5112A
   	Network Account Name:	-
   	Network Account Domain:	-
   	Logon GUID:		{00000000-0000-0000-0000-000000000000}

Process Information:
   	Process ID:		0x30c
   	Process Name:		C:\Windows\System32\lsass.exe

Network Information:
   	Workstation Name:	DESKTOP-LLHJ389
   	Source Network Address:	-
   	Source Port:		-

Detailed Authentication Information:
   	Logon Process:		Negotiat
   	Authentication Package:	Negotiate
   	Transited Services:	-
   	Package Name (NTLM only):	-
   	Key Length:		0"
Windows,4625,An account failed to log on,https://www.ultimatewindowssecurity.com/securitylog/encyclopedia/event.aspx?eventid=4625,"['Windows 2008 R2', '7\r\n                        \r\n                            Windows 2012 R2', '8.1\r\n                        \r\n                            Windows 2016', '10\r\n                        \r\n                            Windows Server 2019', '2022']",Logon/Logoff                   • Logon,Failure,"This is a useful event because it documents each and every failed attempt to logon to the local computer regardless of logon type, location of the user or type of account.",An account failed to log on.
Windows,4626,User/Device claims information,https://www.ultimatewindowssecurity.com/securitylog/encyclopedia/event.aspx?eventid=4626,"['Windows 2012 R2', '8.1\r\n                        \r\n                            Windows 2016', '10\r\n                        \r\n                            Windows Server 2019', '2022']",Logon/Logoff                   • Logon,Success,,"User / Device claims information.

Subject:
    Security ID:     %1
    Account Name:    %2
    Account Domain:  %3
    Logon ID:        %4

Logon Type:          %9

New Logon:
    Security ID:     %5
    Account Name:    %6
    Account Domain:  %7
    Logon ID:        %8

Event in sequence:   %10 of %11

User Claims:         %12

Device Claims:       %13

The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service, or a local process such as Winlogon.exe or Services.exe.

The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network).

The New Logon fields indicate the account for whom the new logon was created, i.e. the account that was logged on.

This event is generated when the Audit User/Device claims subcategory is configured and the user’s logon token contains user/device claims information. The Logon ID field can be used to correlate this event with the corresponding user logon event as well as to any other security audit events generated during this logon session."
Windows,4627,Group membership information.,https://www.ultimatewindowssecurity.com/securitylog/encyclopedia/event.aspx?eventid=4627,"['Windows 2016', '10\r\n                        \r\n                            Windows Server 2019', '2022']",Logon/Logoff                   • Group Membership,Success,This is the only event of it's new Group Membership subcategory.  One or more of these events are logged whenever a user logs on or a logon session begins for any other reason (see LogonTypes on 4624).,"Group membership information.

Subject:
  	Security ID:		AzureAD\RandyFranklinSmith
  	Account Name:		RandyFranklinSmith
  	Account Domain:		AzureAD
  	Logon ID:		0x7A202

Logon Type:			2

New Logon:"
Windows,4634,An account was logged off,https://www.ultimatewindowssecurity.com/securitylog/encyclopedia/event.aspx?eventid=4634,"['Windows 2008 R2', '7\r\n                        \r\n                            Windows 2012 R2', '8.1\r\n                        \r\n                            Windows 2016', '10\r\n                        \r\n                            Windows Server 2019', '2022']",Logon/Logoff                   • Logoff,Success,"Also see event ID 4647 which Windows logs instead of this event in the case of interactive logons when the user logs out.

This event signals the end of a logon session and can be correlated back to the logon event 4624 using the Logon ID.

For network connections (such as to a file server), it will appear that users log on and off many times a day. This phenomenon is caused by the way the Server service terminates idle connections. 

If a user turns off his/her computer, Windows does not have an opportunity to log the logoff event until the system restarts. Therefore, some logoff events are logged much later than the time at which they actually occur. 

ANONYMOUS LOGONs are routine events on Windows networks.

Microsoft's comments: 
This event does not necessarily indicate the time that a user has stopped using a system. For example, if the computer is shut down or loses network connectivity it may not record a logoff event at all. 

Logon Type: indicates how the user was logged on.  See 4624 for explanation of these codes.",An account was logged off.
Windows,4646,IKE DoS-prevention mode started,https://www.ultimatewindowssecurity.com/securitylog/encyclopedia/event.aspx?eventid=4646,"['Windows 2008 R2', '7\r\n                        \r\n                            Windows 2012 R2', '8.1\r\n                        \r\n                            Windows 2016', '10\r\n                        \r\n                            Windows Server 2019', '2022']",Logon/Logoff                   • IPsec Main Mode,Success,"I haven't been able to produce this event. Have you? If so, please start a discussion (see above) and post a sample along with any comments you may have! Don't forget to sanitize any private information.",No example available
Windows,4647,User initiated logoff,https://www.ultimatewindowssecurity.com/securitylog/encyclopedia/event.aspx?eventid=4647,"['Windows 2008 R2', '7\r\n                        \r\n                            Windows 2012 R2', '8.1\r\n                        \r\n                            Windows 2016', '10\r\n                        \r\n                            Windows Server 2019', '2022']",Logon/Logoff                   • Logoff,Success,"Also see 4634. This event signals the end of a logon session and can be correlated back to the logon event 4624 using the Logon ID.
This event seems to be in place of 4634 in the case of Interactive and RemoteInteractive (remote desktop) logons.  This is a plus since it makes it easier to distinguish between logoffs resulting from an idle network session and logoffs where the user actually logs off with from his console.","User initiated logoff:

Subject:
   Security ID:  WIN-R9H529RIO4Y\Administrator
   Account Name:  Administrator
   Account Domain:  WIN-R9H529RIO4Y
   Logon ID:  0x19f4c

This event is generated when a logoff is initiated but the token reference count is not zero and the logon session cannot be destroyed.  No further user-initiated activity can occur.  This event can be interpreted as a logoff event."
Windows,4648,A logon was attempted using explicit credentials,https://www.ultimatewindowssecurity.com/securitylog/encyclopedia/event.aspx?eventid=4648,"['Windows 2008 R2', '7\r\n                        \r\n                            Windows 2012 R2', '8.1\r\n                        \r\n                            Windows 2016', '10\r\n                        \r\n                            Windows Server 2019', '2022']",Logon/Logoff                   • Logon,Success,This is a useful event for tracking several different situations:,A logon was attempted using explicit credentials.
Windows,4649,A replay attack was detected,https://www.ultimatewindowssecurity.com/securitylog/encyclopedia/event.aspx?eventid=4649,"['Windows 2008 R2', '7\r\n                        \r\n                            Windows 2012 R2', '8.1\r\n                        \r\n                            Windows 2016', '10\r\n                        \r\n                            Windows Server 2019', '2022']",Logon/Logoff                   • Other Logon/Logoff Events,Success,"I haven't been able to produce this event. Have you? If so, please start a discussion (see above) and post a sample along with any comments you may have! Don't forget to sanitize any private information.",A replay attack was detected.
Windows,4650,An IPsec Main Mode security association was established,https://www.ultimatewindowssecurity.com/securitylog/encyclopedia/event.aspx?eventid=4650,"['Windows 2008 R2', '7\r\n                        \r\n                            Windows 2012 R2', '8.1\r\n                        \r\n                            Windows 2016', '10\r\n                        \r\n                            Windows Server 2019', '2022']",Logon/Logoff                   • IPsec Main Mode,Success,An IPsec Main Mode security association was established. Extended Mode was not enabled.  Certificate authentication was not used.,"An IPsec Main Mode security association was established. Extended Mode was not enabled.  Certificate authentication was not used.

Local Endpoint:
   Principal Name:  jsmith@srv1.dmn
   Network Address: 10.40.1.123
   Keying Module Port: 500

Remote Endpoint:
   Principal Name:  DMN/SRV2$
   Network Address: 10.40.1.101
   Keying Module Port: 500

Security Association Information:
   Lifetime (minutes): 480
   Quick Mode Limit:   0
   Main Mode SA ID: 9

Cryptographic Information:
   Cipher Algorithm: 3DES
   Integrity Algorithm:   SHA1
   Diffie-Hellman Group:  DH group 2

Additional Information:
   Keying Module Name:    IKEv1
   Authentication Method: Kerberos
   Role: Responder
   Impersonation State:   Not enabled
   Main Mode Filter ID:   71695"
Windows,4651,An IPsec Main Mode security association was established,https://www.ultimatewindowssecurity.com/securitylog/encyclopedia/event.aspx?eventid=4651,"['Windows 2008 R2', '7\r\n                        \r\n                            Windows 2012 R2', '8.1\r\n                        \r\n                            Windows 2016', '10\r\n                        \r\n                            Windows Server 2019', '2022']",Logon/Logoff                   • IPsec Main Mode,Success,An IPsec Main Mode security association was established. Extended Mode was not enabled.  A certificate was used for authentication.,An IPsec Main Mode security association was established. Extended Mode was not enabled.  A certificate was used for authentication.
Windows,4652,An IPsec Main Mode negotiation failed,https://www.ultimatewindowssecurity.com/securitylog/encyclopedia/event.aspx?eventid=4652,"['Windows 2008 R2', '7\r\n                        \r\n                            Windows 2012 R2', '8.1\r\n                        \r\n                            Windows 2016', '10\r\n                        \r\n                            Windows Server 2019', '2022']",Logon/Logoff                   • IPsec Main Mode,Failure,,"An IPsec Main Mode negotiation failed.

Local Endpoint:
   Principal Name:  %1
   Network Address: %9
   Keying Module Port: %10
Local Certificate:
   SHA Thumbprint: %2
   Issuing CA:  %3
   Root CA:  %4
Remote Endpoint:
   Principal Name:  %5
   Network Address: %11
   Keying Module Port: %12
Remote Certificate:
   SHA thumbprint:  %6
   Issuing CA:  %7
   Root CA:  %8
Additional Information:
   Keying Module Name: %13
   Authentication Method: %16
   Role:   %18
   Impersonation State: %19
   Main Mode Filter ID: %20
Failure Information:
   Failure Point:  %14
   Failure Reason:  %15
   State:   %17
   Initiator Cookie:  %21
   Responder Cookie: %22"
Windows,4653,An IPsec Main Mode negotiation failed,https://www.ultimatewindowssecurity.com/securitylog/encyclopedia/event.aspx?eventid=4653,"['Windows 2008 R2', '7\r\n                        \r\n                            Windows 2012 R2', '8.1\r\n                        \r\n                            Windows 2016', '10\r\n                        \r\n                            Windows Server 2019', '2022']",Logon/Logoff                   • IPsec Main Mode,Failure,,An IPsec Main Mode negotiation failed.
Windows,4654,An IPsec Quick Mode negotiation failed,https://www.ultimatewindowssecurity.com/securitylog/encyclopedia/event.aspx?eventid=4654,"['Windows 2008 R2', '7\r\n                        \r\n                            Windows 2012 R2', '8.1\r\n                        \r\n                            Windows 2016', '10\r\n                        \r\n                            Windows Server 2019', '2022']",Logon/Logoff                   • IPsec Quick Mode,Failure,An IPsec Quick Mode negotiation failed,An IPsec Quick Mode negotiation failed.
Windows,4655,An IPsec Main Mode security association ended,https://www.ultimatewindowssecurity.com/securitylog/encyclopedia/event.aspx?eventid=4655,"['Windows 2008 R2', '7\r\n                        \r\n                            Windows 2012 R2', '8.1\r\n                        \r\n                            Windows 2016', '10\r\n                        \r\n                            Windows Server 2019', '2022']",Logon/Logoff                   • IPsec Main Mode,Success,,"An IPsec Main Mode security association ended.

Local Network Address:  10.40.1.123
Remote Network Address: 10.40.1.101
Keying Module Name:     IKEv1
Main Mode SA ID:  88"
Windows,4656,A handle to an object was requested,https://www.ultimatewindowssecurity.com/securitylog/encyclopedia/event.aspx?eventid=4656,"['Windows 2008 R2', '7\r\n                        \r\n                            Windows 2012 R2', '8.1\r\n                        \r\n                            Windows 2016', '10\r\n                        \r\n                            Windows Server 2019', '2022']",Object Access                  • File System • Registry • SAM • Handle Manipulation • Other Object Access Events,"Success   
                        
                            Failure","This event is logged by multiple subcategories as indicated above.

When you enable auditing on an object (e.g. file or folder), this is the first event recorded when an application attempts to access the object in such a way that matches the audit policy defined for that object in terms of who is requesting the access and what type of access is being requested. (it appears that two subcategories must be enabled, Handle Manipulation and one other such as File System or Registry depending on what type of object you are auditing.)",File example:
Windows,4657,A registry value was modified,https://www.ultimatewindowssecurity.com/securitylog/encyclopedia/event.aspx?eventid=4657,"['Windows 2008 R2', '7\r\n                        \r\n                            Windows 2012 R2', '8.1\r\n                        \r\n                            Windows 2016', '10\r\n                        \r\n                            Windows Server 2019', '2022']",Object Access                  • Registry,Success,"This event documents creation, modification and deletion of registry VALUES.  This event is logged between the open (4656) and close (4658) events for the registry KEY where the value resides.  See Operation Type to find out if the value was created, modified or deleted. Of course this event will only be logged if the key's audit policy is enabled for Set Value permission for the appropriate user or a group in the user is a member.",New Value Example:
Windows,4658,The handle to an object was closed,https://www.ultimatewindowssecurity.com/securitylog/encyclopedia/event.aspx?eventid=4658,"['Windows 2008 R2', '7\r\n                        \r\n                            Windows 2012 R2', '8.1\r\n                        \r\n                            Windows 2016', '10\r\n                        \r\n                            Windows Server 2019', '2022']",Object Access                  • File System • Registry • Kernel Object • SAM • Handle Manipulation • Other Object Access Events,Success,This event is logged by multiple subcategories as indicated above.,"The handle to an object was closed.
Subject :
   Security ID:  WIN-R9H529RIO4Y\Administrator
   Account Name:  Administrator
   Account Domain:  WIN-R9H529RIO4Y
   Logon ID:  0x1fd23
Object:
   Object Server:  Security
   Handle ID:  0xb8
Process Information:
   Process ID:  0xed0
   Process Name:  C:\Windows\System32\notepad.exe"
Windows,4659,A handle to an object was requested with intent to delete,https://www.ultimatewindowssecurity.com/securitylog/encyclopedia/event.aspx?eventid=4659,"['Windows 2008 R2', '7\r\n                        \r\n                            Windows 2012 R2', '8.1\r\n                        \r\n                            Windows 2016', '10\r\n                        \r\n                            Windows Server 2019', '2022']",Object Access                  • File System • Registry • Other Object Access Events,Success,This event should be logged whenever your install a patch that requires replacement of a file that is already opened by Windows and can't be closed until shut down.,"A handle to an object was requested with intent to delete.
Subject:
   Security ID:  %1
   Account Name:  %2
   Account Domain:  %3
   Logon ID:  %4
Object:
   Object Server: %5
   Object Type: %6
   Object Name: %7
   Handle ID: %8
Process Information:
   Process ID: %13
Access Request Information:
   Transaction ID: %9
   Accesses: %10
   Access Mask: %11
   Privileges Used for Access Check: %12"
Windows,4660,An object was deleted,https://www.ultimatewindowssecurity.com/securitylog/encyclopedia/event.aspx?eventid=4660,"['Windows 2008 R2', '7\r\n                        \r\n                            Windows 2012 R2', '8.1\r\n                        \r\n                            Windows 2016', '10\r\n                        \r\n                            Windows Server 2019', '2022']",Object Access                  • File System • Registry • Kernel Object • SAM • Other Object Access Events,Success,"This event is logged by multiple subcategories as indicated above.

This event is logged when an object is deleted where that object's audit policy has auditing enabled for deletions for the user who just deleted it or a group to which the user belongs.

To find out the object's name and type you will need to correlate back to to the event 4656 that has the same Handle ID.

In addition to this event you will also get event 4663 when you delete the object; Accesses: will include DELETE. 4663 identifies the object's name without requiring correlation to 4656.","An object was deleted.
Subject:
   Security ID:  WIN-R9H529RIO4Y\Administrator
   Account Name:  Administrator
   Account Domain:  WIN-R9H529RIO4Y
   Logon ID:  0x1fd23
Object:
   Object Server: Security
   Handle ID: 0x40
Process Information:
   Process ID: 0xc34
   Process Name: C:\Windows\System32\cmd.exe
   Transaction ID: {00000000-0000-0000-0000-000000000000}"
Windows,4661,A handle to an object was requested,https://www.ultimatewindowssecurity.com/securitylog/encyclopedia/event.aspx?eventid=4661,"['Windows 2008 R2', '7\r\n                        \r\n                            Windows 2012 R2', '8.1\r\n                        \r\n                            Windows 2016', '10\r\n                        \r\n                            Windows Server 2019', '2022']",Object Access                  • Kernel Object • SAMDirectory Service              • Directory Service Access,Success,"This event is logged by multiple subcategories as indicated above.

Most objects, when opened (handle request), generate event 4656 but when you open a SAM object you get 4661 instead.

Some AD objects also double as SAM objects and some properties of those objects double as SAM attributes.  This event is logged when opening such SAM objects such as SAM_DOMAIN or SAM_USER. 

When the object is closed you get event ID 4658 with the same handle ID.

I regard these events as noise and recommend disabling the SAM subcategory in your audit policy.",SAM example
Windows,4662,An operation was performed on an object,https://www.ultimatewindowssecurity.com/securitylog/encyclopedia/event.aspx?eventid=4662,"['Windows 2008 R2', '7\r\n                        \r\n                            Windows 2012 R2', '8.1\r\n                        \r\n                            Windows 2016', '10\r\n                        \r\n                            Windows Server 2019', '2022']",Directory Service              • Directory Service Access,Success,"Active Directory logs this event when a user accesses an AD object.  

Of course the object's audit policy must be enabled for the permissions requested and the user requesting it or a group to which that user belongs.

For tracking property level changes to AD objects I recommend using Directory Service Change events (5136...) instead of this event because 5136, etc provide much better information.  

On the other hand this is the only event that reports accesses defined for auditing that do not qualify as property changes.",An operation was performed on an object.
Windows,4663,An attempt was made to access an object,https://www.ultimatewindowssecurity.com/securitylog/encyclopedia/event.aspx?eventid=4663,"['Windows 2008 R2', '7\r\n                        \r\n                            Windows 2012 R2', '8.1\r\n                        \r\n                            Windows 2016', '10\r\n                        \r\n                            Windows Server 2019', '2022']",Object Access                  • File System • Registry • Kernel Object • SAM • Other Object Access Events,Success,"This event is logged by multiple subcategories as indicated above.

This event documents actual operations performed against files and other objects.  This event is logged between the open (4656) and close (4658) events for the object being opened and can be correlated to those events via Handle ID.  

While event 4656 tells you when the object is initially opened and what type of access was requested at that time; 4656 doesn't give you positive confirmation any of the access permissions were actually exercised.  That is the role of this event.  This event, 4663, is logged the first time one or more of the requested permissions are actually exercised.  If the program repeatedly exercises a permission while the object is open, Windows only logs 4663 the first time.",
